"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что пользователь может войти с валидными данными (логин: tomsmith, пароль: SuperSecretPassword!)","5717","Успешная авторизация","","2026-05-28","passed","2026-05-28","","test_form","",""
"Тест проверяет, что при вводе неверных данных пользователь не может войти и видит сообщение об ошибке","6140","Неуспешная авторизация","","2026-05-28","passed","2026-05-28","","test_form","",""
