"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что при вводе неверных данных пользователь не может войти и видит сообщение об ошибке","384","Неуспешная авторизация","","2026-05-27","passed","2026-05-27","","test_form","",""
"Тест проверяет, что пользователь может войти с валидными данными (логин: tomsmith, пароль: SuperSecretPassword!)","562","Успешная авторизация","","2026-05-27","passed","2026-05-27","","test_form","",""
